pay;année;pays;energie;fertilit;espervie;mortinfa;croispop;dépeduc;scolprim;vaagricu;prodelec;engrais;ide;pibhab;irrigati;vaindust;vaservic;urbanisa;analphab;forêt;pêche;tranpair;co2
Pologne;85;Pologne85;3315,27;2,33;70,55;19;0,78;4,7;101,11;9,17;1,36E+11;2351,77;0,46;4030,75;0,67;51,14;39,69;59,34;97,57;8672;683455;7,9;11,99
Portugal;85;Portugal85;1139,95;1,74;73,35;19;0,22;3,65;128,71;14,4;18810000000;1007,92;1,35;7236,28;19,96;32,82;52,77;37,16;84,38;3063;320011;133,8;3,06
Roumanie;85;Roumanie85;2851,93;2,31;69,71;28;0,44;2,19;97,96;26,36;71818000000;1555,33;0;4314,29;27,83;60,03;13,61;49,64;96,32;6564;237637;9,7;8,33
Espagne;85;Espagne85;1868,1;1,63;75,93;11;0,35;3,14;110,04;6,34;1,26E+11;1114,2;-0,31;8915,77;15,76;36,21;57,45;74,21;95,33;15614;1485020;522,3;4,94
Syrie;85;Syrie85;860,73;6,92;64,03;46;3,56;6,08;109,6;20,81;7898000000;452,39;0;1869,38;11,6;22,09;57,09;47,89;59,43;516;5887;15,7;2,53
Tunisie;85;Tunisie85;636,5;4,32;65,17;57;3,03;5,54;115,06;15,81;4223000000;314,01;2,83;3075,72;6,08;32,74;51,45;53,84;52,59;590;91147;15,9;1,64
Turquie;85;Turquie85;782,84;3,79;63,45;84;2,43;1,79;113,32;20,43;34219000000;580,16;0;3098,07;11,62;27,1;52,47;52,45;73,86;20199;578068;28,7;2,24
Algérie;80;Algérie80;652,69;6,68;59,28;94;3,07;7,6;94,46;8,51;7123000000;342,84;15,59;2968,23;3,37;57,65;33,84;43,54;36,59;4384;48000;12,9;3,54
Chypre;80;Chypre80;1546,64;2,46;74,6;18;0;3,56;104;9,59;1034000000;1443,59;3,79;4035,08;17,86;33,64;56,77;51,94;90,3;123;1339;18,9;5,23
Egypte;80;Egypte80;390,7;5,14;55,54;118;2,53;4,72;73,14;18,26;18939000000;2902,45;3,65;1224,61;100;36,78;44,96;43,84;39,29;31;140397;29,4;1,1
France;80;France80;3484,35;1,95;74,18;10;0,51;4,93;111,13;4,75;2,57E+11;3210,11;0;9623,67;7,26;36,03;59,22;73,28;100;14614;786428;1985,8;8,96
Grèce;80;Grèce80;1627,61;2,23;74,36;20;0,99;1,8;102,89;13,73;22653000000;1814,67;1,56;7051,69;24,48;32,94;53,33;57,73;91,06;2619;107583;61,4;5,37
Hongrie;80;Hongrie80;2661,25;1,91;69,51;24;0,08;4,59;96,39;19,13;23876000000;2783,22;-0,17;5004,98;2,51;47,06;33,81;56,87;98,57;1610;33733;9,2;7,7
Italie;80;Italie80;2463,25;1,64;73,92;15;0,21;4,18;99,95;6,18;1,83E+11;2226,6;0,2;9155,17;19,3;40,38;53,44;66,64;96,24;6355;502285;522,9;6,59
Jordanie;80;Jordanie80;785,88;6,76;62,79;52;3,83;6,79;81,65;7,89;1070000000;481,61;5,73;2302,92;10,98;28,03;64,08;60,22;69,19;63;56;80,2;2,17
Maroc;80;Maroc80;246,52;5,42;58,01;99;2,24;5,89;83,02;18,43;5247000000;274,46;5,28;1503,46;15,16;30,94;50,63;41,28;28,6;7790;330296;25,6;0,82
Pologne;80;Pologne80;3458,06;2,28;70,1;21;0,91;6,93;99,57;10,75;1,21E+11;2393;0,37;2988,62;0,67;54,47;34,78;57,94;97,05;8672;641438;13,8;12,82
Portugal;80;Portugal80;1053,76;2,19;71,39;25;1,08;3,56;123,24;18,28;15206000000;1068,82;1,85;5324,86;20,06;32,88;48,85;29,44;81,76;2850;271178;105,8;2,77
Roumanie;80;Roumanie80;2933,34;2,43;69,09;29;0,69;3,23;103,81;30,89;67486000000;1243,95;0;2948,34;21,92;60,17;8,94;46,07;95,53;6568;173598;12,3;8,64
Espagne;80;Espagne80;1834,27;2,22;75,53;13;0,75;2,18;109,02;7,43;1,09E+11;1068,31;-0,01;6610,64;14,78;38,57;54;72,79;94,26;15598;1368984;389,7;5,35
Syrie;80;Syrie80;614,43;7,42;61,56;54;3,33;4,58;99,62;20,06;3960000000;243,46;-0,19;1486,48;9,48;23,53;56,41;46,71;53,33;466;3971;16,2;2,22
Tunisie;80;Tunisie80;590,54;5,19;62,41;72;2,67;5,24;102,14;14,13;2924000000;194,92;2,27;2185,82;5,17;31,11;54,76;51,54;44,88;540;62418;11,6;1,48
Turquie;80;Turquie80;708,39;4,26;61,42;103;2,23;2,25;96,38;26,41;23275000000;574,27;0,45;2123,77;9,48;22,17;51,42;43,78;68,41;20199;428215;10,3;1,72
Algérie;75;Algérie75;373,27;7,25;56,28;119;3,06;6,64;92,72;10,42;3630000000;179,69;6,94;1767,94;3,26;50,21;39,37;40,33;28,4;4122;37693;7,2;2
Chypre;75;Chypre75;940,98;2,34;72,79;24;0;4,44;112;15,72;716000000;1467,1;0,77;1630,8;15,38;25,18;59,11;45,19;87,34;123;950;1,1;3,24
Egypte;75;Egypte75;272,42;5,38;53,27;138;2,03;5,03;70,03;29,03;10376000000;1862,47;9,14;580,24;100;26,9;44,07;43,45;35,36;31;106570;20,7;0,84
France;75;France75;3072,53;1,93;72,85;14;0,45;5,06;109,4;5,93;1,85E+11;2703,69;-0,03;5951,96;5,74;37,66;56,41;72,93;100;14576;816326;995,3;8,2
Grèce;75;Grèce75;1343,65;2,37;73,16;29;0,94;1,73;104,4;15,09;16120000000;1591,3;2,53;4320,31;22,63;33,07;51,84;55,31;88,67;2615;96396;32,5;4,32
Hongrie;75;Hongrie75;2182,11;2,35;69,82;30;0,58;4;98,81;25,62;20472000000;2960,75;-0,12;2989,89;2,84;51,34;23,04;52,79;98,32;1545;30788;5,6;7,15
Italie;75;Italie75;2240,98;2,21;72,57;23;0,6;4,07;105,28;7,73;1,46E+11;1596,71;0,05;5319,35;19,49;41,31;50,96;65,64;95,28;6306;448191;396,6;5,86
Jordanie;75;Jordanie75;449,17;7,54;59,12;65;3,49;3,83;86,55;7,9;407000000;199,31;4,9;918,57;11,08;23,68;68,42;57,85;62,31;60;65;13,2;1,32
Maroc;75;Maroc75;193,47;6,3;54,62;109;2,36;5,21;61,99;17,9;3269000000;227,34;3,71;890,89;13,74;35,17;46,93;37,83;24,54;7715;225398;11;0,61
Pologne;75;Pologne75;3034,45;2,27;70,56;27;0,98;7,47;100,43;14,39;96784000000;2483,83;0,16;1991,88;1,53;59,43;26,18;55,4;96,38;8608;801041;10,2;10,89
